nhm_id,hru_id,model_hru_idx,vpu,areasqkm
31461,8347,8347,17,1.0713121367718723
31462,8348,8348,17,6.726637967693209
31463,8349,8349,17,40.62056143830431
31464,8350,8350,17,3.515517445417989
31465,8351,8351,17,1.3651825590825697
31466,8352,8352,17,29.44360826662183
31467,8353,8353,17,3.669192259871364
31468,8354,8354,17,10.41100793328386
31469,8355,8355,17,17.989392503220284
31470,8356,8356,17,4.6825186462703945
31471,8357,8357,17,1.1436313762298227
31472,8358,8358,17,6.334146302297622
31473,8359,8359,17,6.954354377205133
31474,8360,8360,17,2.2513494960004987
31475,8361,8361,17,1.684918031370394
31476,8362,8362,17,0.927332103629306
31477,8363,8363,17,0.1719000179999992
31478,8364,8364,17,5.944884861391812
31479,8365,8365,17,5.758265881110542
31480,8366,8366,17,1.8621323447225544
31481,8367,8367,17,3.750267713774912
31482,8368,8368,17,1.0363501574997007
31483,8369,8369,17,5.522911163454011
31484,8370,8370,17,14.402189151540398
31485,8371,8371,17,1.3949994779983312
31486,8372,8372,17,8.20710026121372
31487,8373,8373,17,9.160634907784337
31488,8374,8374,17,3.8731646420028993
31489,8375,8375,17,7.321066066629053
31490,8376,8376,17,2.503195659966619
31491,8377,8377,17,1.616087913410876
31492,8378,8378,17,1.1415907881624894
31493,8379,8379,17,5.733611457503736
31494,8380,8380,17,13.152947988332746
31495,8381,8381,17,2.446315081086099
31496,8382,8382,17,1.883134432916224
31497,8383,8383,17,2.30940017099899
31498,8384,8384,17,50.300400187678
31499,8385,8385,17,15.760491186772004
31500,8386,8386,17,7.640689551031087
31501,8387,8387,17,16.39561960551113
31502,8388,8388,17,16.929298579212265
31503,8389,8389,17,1.2660017717900722
31504,8390,8390,17,22.800335250065583
31505,8391,8391,17,12.603414493448064
31506,8392,8392,17,21.23894952549344
31507,8393,8393,17,15.131400164003182
31508,8394,8394,17,24.42910369999817
31509,8395,8395,17,19.693846444002
31510,8396,8396,17,1.2082500404997467
31511,8397,8397,17,19.194373735764948
31512,8398,8398,17,16.608975778224153
31513,8399,8399,17,6.969850850917443
31514,8400,8400,17,4.146048973581555
31515,8401,8401,17,16.330489367636208
31516,8402,8402,17,37.06336049735762
31517,8403,8403,17,0.7820995994999483
31518,8404,8404,17,36.18326036929914
31519,8405,8405,17,31.499889869211906
31520,8406,8406,17,21.460394142086948
31521,8407,8407,17,27.137805880403683
31522,8408,8408,17,42.83071623936269
31523,8409,8409,17,15.622934260130242
31524,8410,8410,17,21.97612505057004
31525,8411,8411,17,20.284275165430085
31526,8412,8412,17,24.50082813705629
31527,8413,8413,17,30.08867305993864
31528,8414,8414,17,7.643963485805109
31529,8415,8415,17,3.247836028195381
31530,8416,8416,17,0.0036000089999437
31531,8417,8417,17,4.080759122237503
31532,8418,8418,17,2.126091521262832
31533,8419,8419,17,47.27129306425634
31534,8420,8420,17,25.596756130242703
31535,8421,8421,17,20.125232639124288
31536,8422,8422,17,26.926316874871
31537,8423,8423,17,29.23818025180239
31538,8424,8424,17,7.808519869697332
31539,8425,8425,17,31.137654078311108
31540,8426,8426,17,22.919495777689345
31541,8427,8427,17,14.679404165013462
31542,8428,8428,17,20.677996626983965
31543,8429,8429,17,4.647792106859624
31544,8430,8430,17,5.58655771764289
31545,8431,8431,17,1.6200001620012223
31546,8432,8432,17,31.29039170203429
31547,8433,8433,17,12.206609661467152
31548,8434,8434,17,16.0996002063362
31549,8435,8435,17,11.43319834466762
31550,8436,8436,17,17.55173719287461
31551,8437,8437,17,19.10976196562162
31552,8438,8438,17,20.92726852708232
